"V1","V2","V3","V4"
0.407244911781931,0.366835569106271,0.450286250444167,0.9999
0.592755088218069,0.549713749555833,0.633164430893729,0.9999
0.602284660538229,0.574038808025038,0.629012798705041,0.9999
0.397715339461771,0.370987201294959,0.425961191974962,0.9999
0.491632967467677,0.462727839235961,0.520638544115225,0.9999
0.508367032532323,0.479361455884775,0.537272160764039,0.9999
0.0753020433499333,0.0520882933345838,0.104142041749394,0.9999
0.0371233585104908,0.021394556572847,0.0586936351221103,0.9999
0.148656095357097,0.115431518818556,0.186834288558209,0.9999
0.316228859143132,0.271295571061631,0.364042960072454,0.9999
0.176774624292224,0.140773468849732,0.216347890376869,0.9999
0.115265923037321,0.0862119465714145,0.149119208367451,0.9999
0.0777089412609593,0.0539109521280628,0.106595846470277,0.9999
0.0475386511494609,0.0294133504377728,0.07111075884786,0.9999
0.0454663018360156,0.0347366147656548,0.0579916237035526,0.9999
0.068352132204834,0.0550601176456286,0.0833261088707949,0.9999
0.122178971144589,0.104433479874625,0.141195961189957,0.9999
0.269014496254254,0.24454128449783,0.294616488855811,0.9999
0.202796015746815,0.181097278302441,0.225651367282359,0.9999
0.161298272263716,0.141468874191934,0.181958544990948,0.9999
0.0692414433411841,0.0560926160183409,0.0843137886100778,0.9999
0.0601069793957335,0.0477414783593243,0.0741403840846354,0.9999
0.0434868475823796,0.0328378476741783,0.0564229473140195,0.9999
0.0750395354129361,0.060697644034104,0.0910968035445228,0.9999
0.297841274635246,0.272065817282413,0.324951759148985,0.9999
0.230426687871584,0.206678619810566,0.255868200537302,0.9999
0.137531260463228,0.117994007002857,0.157656134062237,0.9999
0.122582758955889,0.10432464909496,0.142636000097019,0.9999
0.0558596355987817,0.0433583568610834,0.0702463472145395,0.9999
0.0355932905637148,0.0260463205776671,0.0474486998143918,0.9999
0.87320974897465,0.85992872515093,0.885467663852422,0.9999
0.12679025102535,0.114532336147578,0.14007127484907,0.9999
