"index_type","nsec","model_pred1","model_pred2","model_pred3","model_pred4"
"1",10,10.2533800939629,9.8659450806553,10.1895877260657,9.75817978381051
"5",0,0.0155719639889212,0.0157025798992975,0.0127693902720091,0.0105541442695704
"5",0,0.0177225731856126,0.0129211483139151,0.0151631415281575,0.0104123588199888
"1",0,0.260504799421523,0.297026891964551,0.229049867622171,0.276647339507137
"1",0,0.103926921605082,0.0993415294775686,0.118223234262635,0.125047285989343
"5",0,0.0167563738330167,0.0106870638255421,0.0149693977426583,0.00997974685256994
"5",0,0.163425012793494,0.144242299756233,0.155250522036506,0.132621402058796
"1",0,0.327136508006244,0.282040451961713,0.323378963395645,0.266724145572211
"4",0,0.203571058812392,0.167731597625376,0.19541350189702,0.157291463106905
"1",0,0.0696294734290398,0.0678380482104843,0.074420459342379,0.0782299645104804
"4",0,0.149758356220426,0.133903684559946,0.149038084367139,0.138822105651617
"5",0,0.453894748176505,0.42378158093115,0.45333865780473,0.415961597162604
"4",0,0.150573706877154,0.134252678871606,0.17423291008222,0.148940234513168
"4",0,0.10997941319739,0.103975324488987,0.112342793664359,0.102415342148316
"4",0,0.138870253278974,0.127656255674852,0.146320683773108,0.129160252751712
"5",0,0.321625967311312,0.251476359264722,0.320628289044445,0.252474956579441
"5",0,0.0159659553981659,0.00801488177296127,0.0147182097645879,0.00740917779870816
"4",0,0.187669995436792,0.201274173544096,0.163510630281594,0.175274134634182
"4",0,0.197827687305431,0.192985953284545,0.20881767414448,0.185512607118973
"4",0,0.300768511018858,0.29893428915731,0.278812275272725,0.274602098890114
"1",0,0.33493759807058,0.289142530500293,0.280298158155526,0.23875269524709
"5",0,0.353123111112253,0.30884274030222,0.333905042780579,0.308453234230025
"5",0,0.105023169835673,0.0781283932684587,0.0916786951801124,0.0722038269853722
"1",0,0.32240268046499,0.296950067107076,0.299738201943452,0.296534434293456
"5",0,0.22019997266858,0.206762743596422,0.193403748489274,0.186461278844742
"4",0,0.330952755483863,0.311521631114198,0.296648222508428,0.275665360412379
"1",0,0.295442521460514,0.276149557878246,0.260831313517427,0.249393336450898
"5",1,1.51191342817805,1.28998789289241,1.4844569938822,1.30749882204034
"5",1,1.51191342817805,1.28998789289241,1.4844569938822,1.30749882204034
"5",4,3.63107095136847,3.33635200347387,3.62440521553701,3.4484818990205
"5",5,1.67752536575936,1.78320238569653,1.60661688785083,1.77889571321648
"5",5,5.46968979989611,5.50358654112041,5.69804783210082,5.69491295331727
"5",5,5.46968979989611,5.50358654112041,5.69804783210082,5.69491295331727
"2",1,0.426816357090905,0.799906662190827,0.375890399952279,0.799004749449495
"1",1,1.23024295986991,1.27395299142375,1.27143624016844,1.28964794041091
"1",1,1.24445527078389,1.24296289050215,1.30464552768024,1.23941784861672
